"id","parent_id","root_id"
"1631","6190","8"
"1632","19346","8"
"1635","511","8"
"1636","5997","8"
"1638","6005","8"
"1639","6031","8"
"1640","6008","8"
"1642","429","8"
"1643","511","8"
"1644","3671","8"
"1645","3830","8"
"1647","3928","8"
"1648","1822","8"
"1649","254","8"
"1650","1189","8"
"1651","6118","8"
"1652","3425","8"
"1653","6110","8"
"1654","6205","8"
"1655","3786","8"
"1656","382","8"
"1657","74","8"
"1658","74","8"
"1660","1313","8"
"1661","1662","8"
"1662","1295","8"
"1663","733","8"
"1664","738","8"
"1665","237","8"
"1666","1721","8"
"1667","442","8"
"1668","279","8"
"1669","658","8"
"1670","6320","8"
"1671","6075","8"
"1672","6136","8"
"1673","961","8"
"1674","6034","8"
"1675","1189","8"
"1679","6144","8"
"1680","1700","8"
"1681","6149","8"
"1682","3787","8"
"1683","6186","8"
"1684","6190","8"
"1685","6190","8"
"1686","1480","8"
"1687","1688","8"
"1688","3667","8"
"1689","3667","8"
"1690","1295","8"
"1691","3675","8"
"1692","6023","8"
"1694","10044","8"
"1698","6078","8"
"1700","279","8"
"1701","3930","8"
"1704","1189","8"
"1705","6079","8"
"1706","6222","8"
"1708","3673","8"
"1712","3730","8"
"1715","5997","8"
"1716","6069","8"
"1718","6017","8"
"1719","6016","8"
"1720","705","8"
"1721","6061","8"
"1726","3722","8"
"1727","6110","8"
"1728","3684","8"
"1729","3795","8"
"1731","6005","8"
"1732","1189","8"
"1734","628","8"
"1735","703","8"
"1737","1189","8"
"1738","1295","8"
"1739","3062","8"
"1740","6136","8"
"1741","511","8"
"1742","10534","8"
"17366","1000","8"
"1744","375","8"
"1745","6224","8"
"1746","3795","8"
"1749","1189","8"
"1750","6075","8"
"1751","3848","8"
"1752","1555","8"
"1755","1698","8"
"1756","6146","8"
"1757","3792","8"
"1759","6205","8"
"1760","6192","8"
"1761","10188","8"
"1764","705","8"
"1765","705","8"
"1766","705","8"
"1767","8547","8"
"1768","387","8"
"1769","3848","8"
"1770","705","8"
"1772","74","8"
"1773","1698","8"
"1774","2136","8"
"1775","5993","8"
"1776","2051","8"
"1777","18495","8"
"1778","74","8"
"1779","3796","8"
"1780","1998","8"
"1781","5745","8"
"1782","3722","8"
"1786","1312","8"
"1787","1855","8"
