"movie_id","abstract"
"15782","Cuenta el trágico drama de una familia que empieza a descomponerse tras el suicidio de uno de sus hijos. A pesar de ello, el hijo restante (Pattinson) no pierde la esperanza de llegar a enamorarse y es entonces cuando conoce a una joven que ha presenciado el suicidio de su propia madre. A pesar de todas las desgracias familiares, lucharán para que su historia de amor funcione."
"16003","Tras la muerte de su segunda esposa, el periodista deportivo Joe Warr (Clive Owen) tiene que hacerse cargo de su hijo, Artie, de tan solo 6 años. Las cosas se complicarán aún más para Joe cuando el hijo de su anterior matrimonio, Harry, de 14 años, se mude a Australia para vivir con él. A partir aquí, Joe tendrá que arreglárselas para llevar adelante un hogar formado exclusivamente por chicos."
"28178","La historia se centra en Juanjo (Fele Martínez), un profesor universitario que ha sido abandonado por su novia. Convencido de que está siendo manipulada, persuade a su alumno más caradura, Nico, para que le ayude a recuperar a su antiguo amor. Sin embargo, lo que parecía un plan sencillo termina convirtiéndose en un juego perverso o, quizás, romántico… o ambas cosas."
"18942","En un futuro no muy lejano, unos 30 años después de la guerra final, un hombre solitario camina sobre la desolada tierra que una vez fue los Estados Unidos. Ciudades vacías, autovías destrozadas. Todo a su alrededor denota la catástrofe de la destrucción total. No existe civilización ni ley. Eli tiene que seguir avanzando para cumplir con su destino y salvar una humanidad desolada."
"19489","\"Everybody's Fine\" (Todos están bien) es una comedia dramática que nos cuenta una historia familiar muy común en nuestro mundo moderno. Padres y hermanos que viven a cientos de kilómetros, demasiado inmersos en el torbellino de la vida moderna para encontrar tiempo de llamarse, y demasiado preocupados por sus propias familias y amigos para encontrar tiempo de volver a casa."
"16194","Esta vez, el siempre polémico Michael Moore analiza el precio que pagan los estadounidenses por su \"amor\" al capitalismo. Moore ataca al sistema capitalista de Wall Street y analiza la crisis financiera mundial y la economía estadounidense. Todo esto, en el momento de transición entre Bush y Obama. "
"11699","Terence Mcdonagh, detective de homicidios del Departamento de policía de Nueva Orleans, evita que un preso muera ahogado durante las inmediatas consecuencias del huracán Katrina. Debido a su acción, se lastima seriamente la espalda. Resulta ascendido a teniente, y tras tratamiento por medicación para el dolor, es devuelto al servicio activo. "
"34032","Michael Roddick es un espía al servicio de la RFA. Tras el fracaso de su última misión, y en vistas de la más que probable caída del régimen soviético, decide fugarse con Elena, la hija de una espía rusa muerta en extrañas circunstancias. Se instalan en Barcelona, donde abren un pequeño restaurante. Pero los antiguos compañeros de Michael reaparecen reclamando asuntos pendientes. "
"12573","La vida de Larry Gopnik,profesor univiersitario, es un verdadero desastre: su mujer ha decidido dejarle para irse con un conocido de la familia, su hermano Arthur duerme en el sofá del salón porque es incapaz de encontrar un trabajo, su hijo tiene problemas de disciplina, y un alumno intenta sobornarle. En medio de todo este caos, Larry pedirá ayuda a tres rabinos."
"25438","Biografía de Jaime Gil de Biedma, uno de los poetas más influyentes de la segunda mitad del siglo XX. Gil de Biedma vive una doble vida: es un importante empresario, un burgués de buena familia que por la noche libera su faceta de poeta y homosexual, que se rebela contra su entorno familiar e histórico. Un recorrido por una vida llena de contradicciones, pasión, literatura, amor, rebeldía y lucha."
"30612","La vida de Muna transcurre entre la pesadez diaria de los puntos de control de Cisjordania y la sombra de un matrimonio fracasado, pero todo cambia cuando obtiene un permiso de trabajo y residencia para EE.UU."
"11921","Un pueblo protestante en el norte de Alemania. 1913 – 1914, estamos en vísperas de la I Guerra Mundial. La historia de los niños y los adolescentes del coro que dirige el maestro, y de sus familias: el barón, el encargado, el pastor, el doctor, la comadrona, los granjeros. Pero ocurren extraños accidentes que, poco a poco, empiezan a parecer castigos rituales. ¿Quién está detrás de todo esto?."
"12403","Cydney (Milla Jovovich) y Cliff (Steve Zahn) son unos recién casados que deciden celebrar su luna de miel viajando en plan mochilero hasta una remota y paradisíaca playa de Hawái. Una vez allí, descubrirán que otro joven matrimonio ha sido asesinado, pero, a pesar de sus reticencias iniciales, proseguirán con su aventura, uniéndose entonces a una pareja que acaban de conocer."
"10528","En un nuevo y dinámico retrato de los personajes más famosos de Arthur Conan Doyle, Sherlock Holmes envía a Holmes y Watson, su incondicional compañero, a enfrentarse a un nuevo reto.\
Mostrando unas habilidades para luchar tan letales como su legendaria agudeza intelectual, Holmes peleará como nunca para acabar con un nuevo enemigo y desenmarañar así un complot mortal que podría destruir el país."
"25449","Viajando en un ferry en dirección a la isla donde pasarán sus vacaciones, María pierde a su hijo Diego. ¿Se lo ha llevado alguien? Imposible saberlo. Diego simplemente ha desaparecido.\
Meses después, María lucha por superar el dolor de la pérdida, por continuar con su vida. Entonces recibe una llamada inesperada; han encontrado el cadáver de un niño, por lo que debe volver a la isla."
"10197","Vibrante y provocativo musical que sigue la vida del famoso director Guido Contini durante una crisis personal y creativa, manteniendo el equilibrio entre las mujeres que le rodean, incluida su mujer, su amante, su musa cinematográfica, su confidente y diseñadora, una redactora de moda, su amante de joven y su madre."
"25441","Luisa Llorente, experta en tasación y restauración de mansiones victorianas, recibe el encargo de ir a tasar una propiedad en un lugar apartado e inhóspito, \"La casa de campo de Lázaro Valdemar\". Una vez allí desaparece sin dejar rastro. A los pocos días, el jefe de Luisa, Maximiliam Colvin, contrata al detective Nicolás Tramel para que averigüe qué ha pasado con ella y la traiga de vuelta. "
"18932","Up in the Air es la historia de Ryan Bingham (George Clooney), un especialista en recortes financieros y consumado viajante de negocios moderno que, después de pasar años tan ricamente en el aire, de repente se encuentra preparado para hacer una conexión auténtica."
"20137","Dwayne Johnson es \"El Hada de los dientes\" también conocido como Derek Thompson, un impetuoso jugador de hockey cuyo apodo viene dado por su costumbre de dejar sin dientes a sus adversarios. Cuando Derek echa abajo los sueños de un chico, es condenado a trabajar duramente convirtiéndose en una verdadera hada de los dientes durante una semana."
"30784","Cuando Katie, una mujer común, encuentra a Paco, un hombre común, ocurre algo mágico y milagroso: una historia de amor. De esta unión nacerá un bebé extraordinario: Ricky, con poderes especiales."
"21390","Michael vuelve a casa después de haber estado un año en la escuela militar. Su madre se ha enamorado de David, que se ha mudado a vivir con ellos. Cuando empiezan a conocerse, Michael se da cuenta de que su padrastro no es como dice ser..."
"17317","A principios del siglo XX, París es el centro del mundo. Los artistas, la moda, el teatro, la música… y las cortesanas, esas mujeres tan bellas y experimentadas en el arte del amor que llegan a ser mantenidas con gran confort por los hombres poderosos de la época."
"19507","Centrada a partir de la caída del apartheid, cuando Sudáfrica era el anfitrión de la Copa del Mundo de Rugby durante 1995, y cuenta cómo en su primer mandato como presidente sudafricano, Mandela utilizó este acontecimiento como método para apaciguar la desconfianza y el odio entre blancos y negros que llevaba teniendo lugar desde hacia décadas."
"19929","Cuatro parejas del Medio Oeste estadounidense realizan el sueño de su vida viajando a una isla paradisíaca. Una de las parejas va con la intención de solucionar sus problemas matrimoniales, y las otras tres tienen la intención de divertirse con las motos de agua, relajarse en el spa y pasarlo bien en general. Pero no tardan en descubrir que la terapia de pareja que ofrece el hotel no es opcional."
"12162","\"En tierra hostil\" narra el intenso día a día de un comando especializado en desactivación de explosivos durante la guerra de Irak liderado por el sargento Thompson. Cuando éste fallece en el transcurso de una misión, la Unidad queda al mando del impredecible y temerario sargento James (Jeremy Renner)."
"22872","  La mujer sin piano es el retrato en 24 horas, doméstico, laboral y sexual, de un ama de casa a principios del siglo XXI en Madrid. La mujer sin piano está protagonizada por una maleta, un par de zapatos, Carmen Machi, en su primer papel protagonista en cine, y el actor, guionista y compositor checo Jan Budar."
"4627","La Guerra de los Treinta Años ha sembrado de muerte y destrucción la Europa Central y ha dejado huérfano al pequeño KRABAT, de sólo 14 años. Deprimido y desvalido, el acusado instinto de supervivencia de Krabat lo ha llevado hasta un valle remoto, en el que descubre un misterioso molino gestionado por un inquietante personaje a quien llaman el Maestro."
"16190","Basada en el libro de Cormac McCarthy. En un mundo apocalíptico donde todo está desolado, un padre y su hijo viajan hacia la costa para buscar un lugar seguro en el que vivir. En su viaje se encontrarán con los pocos seres humanos que quedan, la mayoría de los cuales se han vuelto locos o se han convertido en caníbales."
"18086","El musical The frog princess (La princesa rana), que se desarrolla en Nueva Orleans, la cuna legendaria del jazz, nos presenta a Maddy, una joven afroamericana que vive en el elegante y espléndido Barrio Francés. Las misteriosas tierras bajas y pantanosas de Luisiana (Bayou) y las orillas del todopoderoso río Mississippi sirven de telón de fondo par una historia de amor, embrujo y hallazgos."
"19651","Claireece \"Precious\" Jones tiene 16 años, es obesa y analfabeta y espera su segundo hijo de su propio padre ausente. Vive en Harlem, el reino de los invisibles, de los sin voz, con su madre, una reclusa cruel que mira la televisión sin cesar y la somete a los más denigrantes abusos."
"30847","Doce años después de El Cairo, OSS 117 vuelve para una nueva misión en la otra punta del mundo. Tras la pista de un microfilm comprometido para el Estado Francés, el más célebre de nuestros agentes debe formar equipo con la más seductora de la teniente coronel del Mosad para capturar a un nazi chantajista."
"27028","Joan Burrows consiguió escapar del psicópata Ernie Bishop, que capturaba, torturaba y asesinaba jóvenes en Ovid, Colorado. En su huída, le mató. Ahora, 16 años después, vuelve al pueblo por primera vez. Coincidiendo con su llegada, varios jóvenes aparecerán muertos después de ser torturados como lo hacía Bishop. Joan decidirá entonces seguir las huellas del asesino..."
"27025","La película narra el regreso de Juan a su ciudad natal, donde el encuentro con Ramona, una adolescente de dieciséis años llena de sensualidad, lo lleva a vivir un apasionamiento desbordante que escapa a lo racional."
"19365","Sandra Bullock, Thomas Haden Church y Bradley Cooper protagonizan la hilarante historia de una mujer que, tras enamorarse perdidamente de un hombre, piensa que por fin ha encontrado a su gran amor; desafortunadamente, ¡él cree que ella le está acosando!"
"17643","Este largometraje inspirado en la clásica película de Universal, The Wolfman, explora los orígenes del mito del hombre maldito. Benicio Del Toro encarna a Lawrence Talbot, un noble torturado que vuelve a las tierras de la familia tras la desaparición de su hermano, hace las paces con su padre y sale en busca de su hermano para acabar descubriendo que también a él le espera un horrible destino."
