"movie_id","runtime","budget","revenue","homepage"
"561","121","100000000","230427240","http://constantinemovie.warnerbros.com/"
"562","131","28000000","138708852","http://www.foxhome.com/diehardcollection/index_frames.html"
"563","130","105000000","121214377",""
"564","124","80000000","415885488","http://www.mummyvideo.com/"
"565","115","45000000","249348933",""
"566","108","0","0",""
"567","112","1000000","0",""
"568","140","62000000","355237933",""
"569","99","0","0",""
"570","93","0","0",""
"571","119","2500000","15000000",""
"572","75","2400000","0",""
"573","116","0","0",""
"574","120","1200000","0",""
"575","120","0","0","http://www.dasexperiment.de/intro/"
"576","143","0","0",""
"577","106","20000000","21284514",""
"578","124","7000000","470653000","http://www.jaws25.com/"
"579","116","20000000","187884007",""
"580","89","23000000","51881013",""
"581","180","22000000","424208848",""
"582","137","2000000","70000000",""
"583","94","4000000","0",""
"584","101","76000000","236041731",""
"585","92","115000000","524000000","http://www.pixar.com/featurefilms/inc/"
"586","97","15000000","64256513",""
"587","125","70000000","122919055",""
"588","126","50000000","97607453",""
"590","114","25000000","108846072",""
"591","149","125000000","758239851","http://www.sonypictures.com/homevideo/thedavincicode/index.html"
"592","113","16000000","0",""
"593","167","0","0",""
"594","124","60000000","218686156","http://www.theterminal-themovie.com/"
"595","124","200000","13129846",""
"596","128","750000","0",""
"597","194","200000000","2187463944",""
"598","130","3300000","27387381","http://cidadededeus.globo.com/"
"599","110","1752000","0",""
"600","116","30000000","46357676",""
"601","115","10500000","792910554","http://www.et20.com/"
"602","145","75000000","816969268","http://www.foxhome.com/id4dvd/html/index_flash.html"
"603","136","63000000","460379930","http://whatisthematrix.warnerbros.com/"
"604","138","150000000","738599701","http://whatisthematrix.warnerbros.com/"
"605","129","150000000","424988211","http://whatisthematrix.warnerbros.com/"
"606","161","31000000","128499205",""
"607","98","90000000","589390539","http://www.sonypictures.com/homevideo/meninblackii/"
"608","88","140000000","441818803","http://www.sonypictures.com/homevideo/meninblackii/"
"609","114","10700000","122200000",""
"612","164","75000000","130358911",""
"613","156","13500000","92053427",""
"614","91","0","0",""
"615","127","0","611900000","http://www.thepassionofthechrist.com/splash.htm"
"616","154","100000000","456758981",""
"617","103","20000000","67200000",""
"618","190","110000","10000000",""
"619","130","0","410945720",""
"620","107","30000000","295200000",""
"621","110","6000000","395000000",""
"622","133","38000000","58401898",""
"623","108","0","62493712",""
"624","94","350000","16500000",""
"625","141","0","34700291",""
"626","16","0","0",""
"627","94","0","16635027",""
"628","123","6000000","104694059",""
"629","106","6000000","23341568",""
"630","101","2777000","0",""
"631","95","0","0",""
"632","116","0","0",""
"633","149","2300000","0",""
"634","97","25000000","281929795",""
"635","113","17000000","0",""
"636","95","0","0",""
"637","116","0","229163264",""
"638","135","15000000","3675201",""
"639","96","16000000","92823546",""
"640","141","52000000","351112395",""
"641","102","4500000","7390108",""
"642","110","6000000","102308889",""
"643","75","0","0",""
"644","145","100000000","235926552","http://www.warnerbros.de/video/ai/"
"646","111","1100000","59600000","http://www.mgm.com/title_title.do?title_star=DRNO"
"647","101","0","0",""
"648","96","0","0",""
"649","101","0","4037017",""
"650","102","6500000","57504069",""
"651","116","3500000","0",""
"652","163","175000000","497409852",""
"653","82","0","0","http://www.nosferatumovie.com/cast_crew.html"
"654","108","0","0",""
"655","147","0","0",""
"657","110","2500000","78898765","http://www.mgm.com/title_title.do?title_star=FROMRUSS"
"658","112","3500000","124900000",""
"659","142","0","0",""
"660","130","11000000","141195658",""
"661","116","0","0",""
"662","28","0","0",""
"663","92","0","0","http://movies.break.com/saw4/"
"664","113","92000000","494471524",""
"665","212","15900000","90000000",""
"666","113","0","5596708",""
"667","117","9500000","111584787","http://www.mgm.com/title_title.do?title_star=YOUONLYL"
"668","140","7000000","81974493","http://www.mgm.com/title_title.do?title_star=ONHERMAJ"
"669","78","50000","0",""
"670","120","146718","14980005",""
"671","152","125000000","976475550",""
"672","161","100000000","876688482",""
"673","141","130000000","789804554",""
"674","157","150000000","892213036","http://harrypotter.warnerbros.com/"
"675","130","150000000","939885929","http://www.harrypotterorderofthephoenix.com/"
"676","183","140000000","449220945",""
"677","126","0","0",""
"678","97","0","0",""
"679","137","18500000","131060248","http://www.alien-movies.com/index_frames.html"
"680","148","8000000","213928762",""
"681","120","7200000","116000000",""
"682","125","7000000","97572000",""
"685","100","0","0",""
"686","153","90000000","171000000","http://contact-themovie.warnerbros.com/"
"687","122","11000000","39363635",""
"688","135","0","0",""
"689","230","0","0",""
"690","75","0","0",""
"691","125","14000000","185438673","http://www.mgm.com/title_title.do?title_star=SPYWHOLO"
"692","93","12000","6000000",""
"693","110","80000000","516533043","http://www.meetthefockers.com/index.php"
"694","144","22000000","44017374",""
"695","187","0","6110979",""
"696","96","0","39946780",""
"697","94","0","0",""
"698","126","34000000","189908099","Ein russisches und ein amerikanisches U-Boot mit Atomraketen an Bord verschwinden spurlos von der Bi"
"699","127","28000000","195312802","http://www.mgm.com/title_title.do?title_star=FORYOURE"
"700","131","27500000","255393619",""
"701","74","0","0",""
"702","122","0","0",""
"703","93","4000000","38251425",""
"704","91","500000","0",""
"705","138","0","0",""
"706","141","0","0",""
"707","131","30000000","152427960","http://www.mgm.com/title_title.do?title_star=VIEWTOAK"
"708","130","40000000","191185897","http://www.mgm.com/title_title.do?title_star=LIVINGDA"
"709","133","42000000","156167015",""
"710","130","60000000","352194034","http://www.mgm.com/title_title.do?title_star=GOLDENEY"
"711","136","43000000","80049764",""
"712","117","6000000","254700832","http://workingtitlefilms.com/film.php?filmID=59"
"713","121","7000000","40157856",""
"714","119","110000000","332985647","http://www.mgm.com/title_title.do?title_star=TOMNEVER"
"715","144","115000000","378882411",""
"716","116","5000000","0",""
"717","103","60000000","264118201",""
"718","88","130000000","448191819",""
"719","100","1200000","0","http://www.rockyhorror.com/main.php"
"720","85","12000000","0",""
"721","85","23000000","0",""
"722","83","30000000","51132598",""
"723","114","0","0",""
"724","97","15000000","11614954","http://www.themusemovie.com/"
"725","128","135000000","361820284","http://www.jamesbond.com/bond19/"
"726","133","142000000","431961224","http://www.jamesbond.com/bond20/"
"727","144","130000000","599000000","http://www.sonypictures.com/movies/casinoroyale/international/"
"728","107","0","40900000",""
"729","148","42000000","270248367",""
"730","105","3000000","104642560",""
"731","96","0","0",""
"732","120","45000000","131237688",""
"733","117","54000000","154306865",""
"734","113","65000000","132397389",""
"736","77","0","0",""
"737","116","3000000","0",""
"738","134","36000000","160000000","http://www.mgm.com/title_title.do?title_star=NEVERSYN"
"739","104","75000000","296250053","http://marvel.com/movies/X-Men.X-Men"
"740","133","110000000","407557613","http://marvel.com/movies/X-Men.X2:_X-Men_United"
"741","104","210000000","458751448","http://marvel.com/movies/X-Men.X3:_The_Last_Stand"
"742","106","0","0",""
"743","87","0","0",""
"744","110","0","353816701",""
"745","107","55000000","672806292","http://www.sixthsense.de/"
"746","156","25000000","0",""
"747","95","4000000","0","http://uip.co.uk/romzom/"
"750","87","0","0",""
"751","81","0","0",""
"752","132","54000000","132511035","http://vforvendetta.warnerbros.com/"
"753","129","0","0",""
"754","138","80000000","245676146",""
"755","108","19000000","25836616",""
"756","120","2280000","76000000",""
"757","90","0","0",""
"758","93","0","0",""
"759","91","0","0",""
"760","100","0","0",""
"761","104","0","0",""
"762","91","400000","5028948","http://www.sonypictures.com/cthe/montypython/"
"763","97","3000000","0",""
"764","85","350000","0",""
"765","85","3500000","0",""
"766","101","11000000","0",""
"767","153","0","934546568",""
"768","122","35000000","74558115",""
"769","145","25000000","46836394",""
"770","219","4000000","400176459",""
"771","103","18000000","477561243",""
"772","120","18000000","358991681",""
"773","103","8000000","100320452",""
"774","1","0","0",""
"775","14","0","0",""
"776","110","0","0",""
"777","114","0","0",""
"778","114","0","0",""
"779","83","0","0",""
"780","88","0","0",""
"781","120","0","0",""
"782","101","36000000","0",""
"783","188","22000000","0",""
"784","105","0","0",""
"785","74","0","0",""
"786","122","60000000","47383689",""
"787","120","110000000","478207520",""
"788","125","25000000","441195243",""
"789","92","0","0",""
"790","89","1000000","0","http://www.mgm.com/title_title.do?title_star=FOG"
"791","100","18000000","46201432","http://www.sonypictures.com/homevideo/thefog/index.html"
"792","120","6000000","138530565",""
"793","120","6000000","8551228",""
"794","111","2800000","0",""
"795","114","55000000","198685114",""
"796","97","10500000","75902208",""
"797","85","0","0",""
"798","91","0","0",""
"799","107","0","0",""
"800","80","0","0",""
"801","121","13000000","0",""
"802","152","2000000","0",""
"803","32","0","0",""
"804","118","1500000","12000000",""
"805","137","2300000","0",""
"806","110","25000000","119188334","http://www.theomenmovie.com/"
"807","127","33000000","327311859","http://www.sevenmovie.com/"
"808","90","60000000","484409218","http://www.shrek.com/"
"809","92","70000000","920665658","http://www.shrek2.com/"
"810","92","160000000","798958162","http://www.shrekthethird.com/flash/index.html"
"811","89","1100000","0",""
